dia,hrs,minutos,Hrs,Minutos Procesamiento,nt
0,14,57,897,259,273291
0,19,16,1156,276,298030
0,23,52,1432,220,375930
1,3,32,1652,248,438817
1,7,40,1900,337,451064
1,13,17,2237,287,479586
1,18,4,2524,292,568535
1,22,56,2816,1112,1671993
2,17,28,3928,300,543865
2,22,28,4228,279,516955
3,3,7,4507,231,558295
3,6,58,4738,224,507359
3,10,42,4962,327,613217
3,16,9,5289,360,610423
3,22,9,5649,256,574822
4,2,25,5905,356,688984
4,8,21,6261,348,665230
4,14,9,6609,397,693749
4,20,46,7006,461,655046
5,4,27,7467,0,0
