Protein IDs	Majority protein IDs	Protein names	Gene names	Fasta headers	Peptides	Razor + unique peptides	Unique peptides	LFQ intensity C-C_1	LFQ intensity C-C_2	LFQ intensity C-C_3	LFQ intensity C-C_4	LFQ intensity C-M_1	LFQ intensity C-M_2	LFQ intensity C-M_3	LFQ intensity C-M_4	LFQ intensity C-S_1	LFQ intensity C-S_2	LFQ intensity C-S_3	LFQ intensity C-S_4	LFQ intensity WD-C_1	LFQ intensity WD-C_2	LFQ intensity WD-C_3	LFQ intensity WD-C_4	LFQ intensity WD-M_1	LFQ intensity WD-M_2	LFQ intensity WD-M_3	LFQ intensity WD-M_4	LFQ intensity WD-S_1	LFQ intensity WD-S_2	LFQ intensity WD-S_3	LFQ intensity WD-S_4	Only identified by site	Reverse	Potential contaminant
1	A0A087WNP5	A0A087WNP5		Gm4767	tr|A0A087WNP5|A0A087WNP5_MOUSE Predicted gene 10778 OS=Mus musculus OX=10090 GN=Gm10778 PE=1 SV=1	1	1	1	0	0	0	4258700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
2	A0A087WNP6;Q4VAA2	A0A087WNP6;Q4VAA2	Protein CDV3	Cdv3	tr|A0A087WNP6|A0A087WNP6_MOUSE Protein CDV3 OS=Mus musculus OX=10090 GN=Cdv3 PE=1 SV=1;sp|Q4VAA2|CDV3_MOUSE Protein CDV3 OS=Mus musculus OX=10090 GN=Cdv3 PE=1 SV=2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2046600	0	0	0	0	0	0	0	0	0			
3	A0A087WQ51;A0A087WQ74;A0A087WNY4;P81183	A0A087WQ51;A0A087WQ74;A0A087WNY4;P81183	Zinc finger protein Helios	Ikzf2	tr|A0A087WQ51|A0A087WQ51_MOUSE Zinc finger protein Helios OS=Mus musculus OX=10090 GN=Ikzf2 PE=1 SV=1;tr|A0A087WQ74|A0A087WQ74_MOUSE Zinc finger protein Helios OS=Mus musculus OX=10090 GN=Ikzf2 PE=1 SV=1;tr|A0A087WNY4|A0A087WNY4_MOUSE Zinc finger protein H	1	1	1	0	6461900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
4	A0A087WP25;A2AJA9	A0A087WP25;A2AJA9	Uncharacterized protein C9orf172 homolog	Gm996	tr|A0A087WP25|A0A087WP25_MOUSE Apical junction component 1 homolog (Fragment) OS=Mus musculus OX=10090 GN=Ajm1 PE=4 SV=1;sp|A2AJA9|AJM1_MOUSE Apical junction component 1 homolog OS=Mus musculus OX=10090 GN=Ajm1 PE=1 SV=1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91357000	0	0	0	0	0	0			
5	A0A087WPC1;P86449	A0A087WPC1;P86449	Tripartite motif-containing protein 43C	Trim43c	tr|A0A087WPC1|A0A087WPC1_MOUSE Tripartite motif-containing protein 43C OS=Mus musculus OX=10090 GN=Trim43c PE=4 SV=1;sp|P86449|TR43C_MOUSE Tripartite motif-containing protein 43C OS=Mus musculus OX=10090 GN=Trim43c PE=2 SV=1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26672000	0	0			
6	A0A087WPY2;O08849	A0A087WPY2;O08849	Regulator of G-protein signaling 2	Rgs2	tr|A0A087WPY2|A0A087WPY2_MOUSE Regulator of G-protein-signaling 2 OS=Mus musculus OX=10090 GN=Rgs2 PE=4 SV=1;sp|O08849|RGS2_MOUSE Regulator of G-protein signaling 2 OS=Mus musculus OX=10090 GN=Rgs2 PE=2 SV=2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
7	B7ZNJ1;A0A087WS56;B9EHT6;A0A087WSN6;Q3UHL6;A0A087WR50;P11276;A0A087WS99;Q4KL80;A0A087WQE0	B7ZNJ1;A0A087WS56;B9EHT6;A0A087WSN6;Q3UHL6;A0A087WR50;P11276	Fibronectin;Anastellin	Fn1	tr|B7ZNJ1|B7ZNJ1_MOUSE Fibronectin OS=Mus musculus OX=10090 GN=Fn1 PE=1 SV=1;tr|A0A087WS56|A0A087WS56_MOUSE Fibronectin OS=Mus musculus OX=10090 GN=Fn1 PE=1 SV=1;tr|B9EHT6|B9EHT6_MOUSE Fibronectin OS=Mus musculus OX=10090 GN=Fn1 PE=1 SV=1;tr|A0A087WSN6|A0A	20	20	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127070000	0	0	0	0	0	0	0	0	0			
8	A0A087WRY5;Q8VC60	A0A087WRY5;Q8VC60	Beta-galactosidase-1-like protein	Glb1l	tr|A0A087WRY5|A0A087WRY5_MOUSE Beta-galactosidase-1-like protein (Fragment) OS=Mus musculus OX=10090 GN=Glb1l PE=1 SV=1;sp|Q8VC60|GLB1L_MOUSE Beta-galactosidase-1-like protein OS=Mus musculus OX=10090 GN=Glb1l PE=1 SV=1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37728000	0	0			
9	A0A087WS37;P97350	A0A087WS37;P97350	Plakophilin-1	Pkp1	tr|A0A087WS37|A0A087WS37_MOUSE Plakophilin-1 OS=Mus musculus OX=10090 GN=Pkp1 PE=1 SV=1;sp|P97350|PKP1_MOUSE Plakophilin-1 OS=Mus musculus OX=10090 GN=Pkp1 PE=1 SV=1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121190000	0	0	0			
10	A0A087WS46;O70251;M0QWK5;M0QWH8;G3UX43;G3UZ47	A0A087WS46;O70251	Elongation factor 1-beta	Eef1b2;Eef1b	tr|A0A087WS46|A0A087WS46_MOUSE Eukaryotic translation elongation factor 1 beta 2 OS=Mus musculus OX=10090 GN=Eef1b2 PE=1 SV=1;sp|O70251|EF1B_MOUSE Elongation factor 1-beta OS=Mus musculus OX=10090 GN=Eef1b PE=1 SV=5	3	3	3	0	7597500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
