Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Mutated peptide count	Mutation names	Mutated peptide count C-C_1	Mutation names C-C_1	Mutated peptide count C-C_2	Mutation names C-C_2	Mutated peptide count C-C_3	Mutation names C-C_3	Mutated peptide count C-C_4	Mutation names C-C_4	Mutated peptide count C-M_1	Mutation names C-M_1	Mutated peptide count C-M_2	Mutation names C-M_2	Mutated peptide count C-M_3	Mutation names C-M_3	Mutated peptide count C-M_4	Mutation names C-M_4	Mutated peptide count C-S_1	Mutation names C-S_1	Mutated peptide count C-S_2	Mutation names C-S_2	Mutated peptide count C-S_3	Mutation names C-S_3	Mutated peptide count C-S_4	Mutation names C-S_4	Mutated peptide count WD-C_1	Mutation names WD-C_1	Mutated peptide count WD-C_2	Mutation names WD-C_2	Mutated peptide count WD-C_3	Mutation names WD-C_3	Mutated peptide count WD-C_4	Mutation names WD-C_4	Mutated peptide count WD-M_1	Mutation names WD-M_1	Mutated peptide count WD-M_2	Mutation names WD-M_2	Mutated peptide count WD-M_3	Mutation names WD-M_3	Mutated peptide count WD-M_4	Mutation names WD-M_4	Mutated peptide count WD-S_1	Mutation names WD-S_1	Mutated peptide count WD-S_2	Mutation names WD-S_2	Mutated peptide count WD-S_3	Mutation names WD-S_3	Mutated peptide count WD-S_4	Mutation names WD-S_4	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides C-C_1	Peptides C-C_2	Peptides C-C_3	Peptides C-C_4	Peptides C-M_1	Peptides C-M_2	Peptides C-M_3	Peptides C-M_4	Peptides C-S_1	Peptides C-S_2	Peptides C-S_3	Peptides C-S_4	Peptides WD-C_1	Peptides WD-C_2	Peptides WD-C_3	Peptides WD-C_4	Peptides WD-M_1	Peptides WD-M_2	Peptides WD-M_3	Peptides WD-M_4	Peptides WD-S_1	Peptides WD-S_2	Peptides WD-S_3	Peptides WD-S_4	Razor + unique peptides C-C_1	Razor + unique peptides C-C_2	Razor + unique peptides C-C_3	Razor + unique peptides C-C_4	Razor + unique peptides C-M_1	Razor + unique peptides C-M_2	Razor + unique peptides C-M_3	Razor + unique peptides C-M_4	Razor + unique peptides C-S_1	Razor + unique peptides C-S_2	Razor + unique peptides C-S_3	Razor + unique peptides C-S_4	Razor + unique peptides WD-C_1	Razor + unique peptides WD-C_2	Razor + unique peptides WD-C_3	Razor + unique peptides WD-C_4	Razor + unique peptides WD-M_1	Razor + unique peptides WD-M_2	Razor + unique peptides WD-M_3	Razor + unique peptides WD-M_4	Razor + unique peptides WD-S_1	Razor + unique peptides WD-S_2	Razor + unique peptides WD-S_3	Razor + unique peptides WD-S_4	Unique peptides C-C_1	Unique peptides C-C_2	Unique peptides C-C_3	Unique peptides C-C_4	Unique peptides C-M_1	Unique peptides C-M_2	Unique peptides C-M_3	Unique peptides C-M_4	Unique peptides C-S_1	Unique peptides C-S_2	Unique peptides C-S_3	Unique peptides C-S_4	Unique peptides WD-C_1	Unique peptides WD-C_2	Unique peptides WD-C_3	Unique peptides WD-C_4	Unique peptides WD-M_1	Unique peptides WD-M_2	Unique peptides WD-M_3	Unique peptides WD-M_4	Unique peptides WD-S_1	Unique peptides WD-S_2	Unique peptides WD-S_3	Unique peptides WD-S_4	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Q-value	Score	Sequence coverage C-C_1 [%]	Sequence coverage C-C_2 [%]	Sequence coverage C-C_3 [%]	Sequence coverage C-C_4 [%]	Sequence coverage C-M_1 [%]	Sequence coverage C-M_2 [%]	Sequence coverage C-M_3 [%]	Sequence coverage C-M_4 [%]	Sequence coverage C-S_1 [%]	Sequence coverage C-S_2 [%]	Sequence coverage C-S_3 [%]	Sequence coverage C-S_4 [%]	Sequence coverage WD-C_1 [%]	Sequence coverage WD-C_2 [%]	Sequence coverage WD-C_3 [%]	Sequence coverage WD-C_4 [%]	Sequence coverage WD-M_1 [%]	Sequence coverage WD-M_2 [%]	Sequence coverage WD-M_3 [%]	Sequence coverage WD-M_4 [%]	Sequence coverage WD-S_1 [%]	Sequence coverage WD-S_2 [%]	Sequence coverage WD-S_3 [%]	Sequence coverage WD-S_4 [%]	Intensity	Intensity C-C_1	Intensity C-C_2	Intensity C-C_3	Intensity C-C_4	Intensity C-M_1	Intensity C-M_2	Intensity C-M_3	Intensity C-M_4	Intensity C-S_1	Intensity C-S_2	Intensity C-S_3	Intensity C-S_4	Intensity WD-C_1	Intensity WD-C_2	Intensity WD-C_3	Intensity WD-C_4	Intensity WD-M_1	Intensity WD-M_2	Intensity WD-M_3	Intensity WD-M_4	Intensity WD-S_1	Intensity WD-S_2	Intensity WD-S_3	Intensity WD-S_4	LFQ intensity C-C_1	LFQ intensity C-C_2	LFQ intensity C-C_3	LFQ intensity C-C_4	LFQ intensity C-M_1	LFQ intensity C-M_2	LFQ intensity C-M_3	LFQ intensity C-M_4	LFQ intensity C-S_1	LFQ intensity C-S_2	LFQ intensity C-S_3	LFQ intensity C-S_4	LFQ intensity WD-C_1	LFQ intensity WD-C_2	LFQ intensity WD-C_3	LFQ intensity WD-C_4	LFQ intensity WD-M_1	LFQ intensity WD-M_2	LFQ intensity WD-M_3	LFQ intensity WD-M_4	LFQ intensity WD-S_1	LFQ intensity WD-S_2	LFQ intensity WD-S_3	LFQ intensity WD-S_4	MS/MS count C-C_1	MS/MS count C-C_2	MS/MS count C-C_3	MS/MS count C-C_4	MS/MS count C-M_1	MS/MS count C-M_2	MS/MS count C-M_3	MS/MS count C-M_4	MS/MS count C-S_1	MS/MS count C-S_2	MS/MS count C-S_3	MS/MS count C-S_4	MS/MS count WD-C_1	MS/MS count WD-C_2	MS/MS count WD-C_3	MS/MS count WD-C_4	MS/MS count WD-M_1	MS/MS count WD-M_2	MS/MS count WD-M_3	MS/MS count WD-M_4	MS/MS count WD-S_1	MS/MS count WD-S_2	MS/MS count WD-S_3	MS/MS count WD-S_4	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
A0A087WNP5	A0A087WNP5	1	1	1		Gm4767	0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		tr|A0A087WNP5|A0A087WNP5_MOUSE Predicted gene 10778 OS=Mus musculus OX=10090 GN=Gm10778 PE=1 SV=1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.4	2.4	2.4	58.051	499	499	1	1	0.0071301	5.5148	0	0	0	2.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10744000	0	0	0	10744000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4258700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				0	1627	True	1656	17922	24544	24544		
A0A087WNP6;Q4VAA2	A0A087WNP6;Q4VAA2	1;1	1;1	1;1	Protein CDV3	Cdv3	0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		tr|A0A087WNP6|A0A087WNP6_MOUSE Protein CDV3 OS=Mus musculus OX=10090 GN=Cdv3 PE=1 SV=1;sp|Q4VAA2|CDV3_MOUSE Protein CDV3 OS=Mus musculus OX=10090 GN=Cdv3 PE=1 SV=2	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	7.7	7.7	7.7	24.196	235	235;281	1	2	0.0025126	9.2643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.7	0	0	0	0	0	0	0	0	0	1074800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1074800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2046600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2				1	13	True	13	110;111	147;148	147		
A0A087WQ51;A0A087WQ74;A0A087WNY4;P81183	A0A087WQ51;A0A087WQ74;A0A087WNY4;P81183	1;1;1;1	1;1;1;1	1;1;1;1	Zinc finger protein Helios	Ikzf2	0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		tr|A0A087WQ51|A0A087WQ51_MOUSE Zinc finger protein Helios OS=Mus musculus OX=10090 GN=Ikzf2 PE=1 SV=1;tr|A0A087WQ74|A0A087WQ74_MOUSE Zinc finger protein Helios OS=Mus musculus OX=10090 GN=Ikzf2 PE=1 SV=1;tr|A0A087WNY4|A0A087WNY4_MOUSE Zinc finger protein H	4	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.4	2.4	2.4	51.165	452	452;454;532;526	1	1	0.0071556	5.517	0	2.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13856000	0	13856000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6461900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				2	2613	True	2673	26062	35365	35365		
A0A087WP25;A2AJA9	A0A087WP25;A2AJA9	1;1	1;1	1;1	Uncharacterized protein C9orf172 homolog	Gm996	0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		tr|A0A087WP25|A0A087WP25_MOUSE Apical junction component 1 homolog (Fragment) OS=Mus musculus OX=10090 GN=Ajm1 PE=4 SV=1;sp|A2AJA9|AJM1_MOUSE Apical junction component 1 homolog OS=Mus musculus OX=10090 GN=Ajm1 PE=1 SV=1	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	96.6	96.6	96.6	3.2457	29	29;974	1	1	0.0044543	5.9864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96.6	0	0	0	0	0	0	129140000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129140000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91357000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1				3	1738	True	1776	18311	25069	25069	0	1
A0A087WPC1;P86449	A0A087WPC1;P86449	1;1	1;1	1;1	Tripartite motif-containing protein 43C	Trim43c	0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		tr|A0A087WPC1|A0A087WPC1_MOUSE Tripartite motif-containing protein 43C OS=Mus musculus OX=10090 GN=Trim43c PE=4 SV=1;sp|P86449|TR43C_MOUSE Tripartite motif-containing protein 43C OS=Mus musculus OX=10090 GN=Trim43c PE=2 SV=1	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2.2	2.2	2.2	52.404	445	445;446	1	2	0.0060606	5.7042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.2	0	0	2.2	0	0	146260000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86928000	0	0	59331000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26672000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				4	1080	True	1106	10062;10063	14406;14407	14406	1	144
A0A087WPY2;O08849	A0A087WPY2;O08849	1;1	1;1	1;1	Regulator of G-protein signaling 2	Rgs2	0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		tr|A0A087WPY2|A0A087WPY2_MOUSE Regulator of G-protein-signaling 2 OS=Mus musculus OX=10090 GN=Rgs2 PE=4 SV=1;sp|O08849|RGS2_MOUSE Regulator of G-protein signaling 2 OS=Mus musculus OX=10090 GN=Rgs2 PE=2 SV=2	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	25.4	25.4	25.4	8.1144	71	71;211	1	2	0.0059642	5.6801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.4	25.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2				5	1717	True	1755	18273;18274	25031;25032	25032	2;3;4	1;5;16
B7ZNJ1;A0A087WS56;B9EHT6;A0A087WSN6;Q3UHL6;A0A087WR50;P11276;A0A087WS99;Q4KL80;A0A087WQE0	B7ZNJ1;A0A087WS56;B9EHT6;A0A087WSN6;Q3UHL6;A0A087WR50;P11276	20;20;20;20;20;20;18;2;2;1	20;20;20;20;20;20;18;2;2;1	20;20;20;20;20;20;18;2;2;1	Fibronectin;Anastellin	Fn1	0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		tr|B7ZNJ1|B7ZNJ1_MOUSE Fibronectin OS=Mus musculus OX=10090 GN=Fn1 PE=1 SV=1;tr|A0A087WS56|A0A087WS56_MOUSE Fibronectin OS=Mus musculus OX=10090 GN=Fn1 PE=1 SV=1;tr|B9EHT6|B9EHT6_MOUSE Fibronectin OS=Mus musculus OX=10090 GN=Fn1 PE=1 SV=1;tr|A0A087WSN6|A0A	10	20	20	20	0	5	4	4	0	0	0	0	0	1	0	0	4	0	13	3	0	0	1	1	0	0	0	1	0	5	4	4	0	0	0	0	0	1	0	0	4	0	13	3	0	0	1	1	0	0	0	1	0	5	4	4	0	0	0	0	0	1	0	0	4	0	13	3	0	0	1	1	0	0	0	1	12.7	12.7	12.7	239.72	2176	2176;2266;2271;2296;2361;2386;2477;200;383;71	1	48	0	323.31	0	3.4	2.7	2.8	0	0	0	0	0	0.8	0	0	2.3	0	7.8	2.1	0	0	0.6	0.6	0	0	0	0.6	242420000	0	54248000	8668300	71445000	0	0	0	0	0	0	0	0	4675400	0	69573000	12081000	0	0	0	1853700	0	0	0	19880000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127070000	0	0	0	0	0	0	0	0	0	0	5	4	6	0	0	0	0	0	1	0	0	5	0	19	4	0	0	2	0	0	0	0	1	47				6	216;262;263;333;568;682;687;892;1033;1050;1218;1235;1438;2258;2279;2296;2349;2639;2669;2741	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	222;270;271;341;587;701;706;914;1057;1074;1244;1261;1467;2304;2325;2344;2400;2699;2729;2802	1270;1271;1803;1804;1805;1806;1807;1808;3877;5682;5683;5684;6492;6512;8212;9470;9540;10833;10834;10835;10916;14622;14623;14624;14625;23761;23762;23763;23764;23765;23766;23767;23841;24023;24340;24341;26221;26450;26451;26452;26453;26454;26455;26456;26457;26458;27052;27053	1785;1786;2675;2676;2677;2678;2679;2680;5707;8190;8191;8192;9370;9371;9394;9395;9396;11778;13624;13719;15498;15499;15500;15595;20290;20291;20292;20293;32059;32060;32061;32062;32063;32064;32065;32164;32401;32903;32904;35598;35887;35888;35889;35890;35891;35892;35893;35894;35895;35896;35897;36768;36769	1785;2675;2679;5707;8192;9371;9395;11778;13624;13719;15498;15595;20290;32060;32164;32401;32904;35598;35893;36769		
A0A087WRY5;Q8VC60	A0A087WRY5;Q8VC60	1;1	1;1	1;1	Beta-galactosidase-1-like protein	Glb1l	0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		tr|A0A087WRY5|A0A087WRY5_MOUSE Beta-galactosidase-1-like protein (Fragment) OS=Mus musculus OX=10090 GN=Glb1l PE=1 SV=1;sp|Q8VC60|GLB1L_MOUSE Beta-galactosidase-1-like protein OS=Mus musculus OX=10090 GN=Glb1l PE=1 SV=1	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5.9	5.9	5.9	21.583	188	188;646	1	1	0.0046512	6.6057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.9	0	0	83924000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83924000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37728000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1				7	1704	True	1740	18246	25003	25003	5	1
A0A087WS37;P97350	A0A087WS37;P97350	1;1	1;1	1;1	Plakophilin-1	Pkp1	0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		tr|A0A087WS37|A0A087WS37_MOUSE Plakophilin-1 OS=Mus musculus OX=10090 GN=Pkp1 PE=1 SV=1;sp|P97350|PKP1_MOUSE Plakophilin-1 OS=Mus musculus OX=10090 GN=Pkp1 PE=1 SV=1	2	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	13.3	13.3	13.3	18.598	166	166;728	1	2	0.005814	5.6315	0	0	0	0	0	0	0	0	0	13.3	0	0	0	0	0	0	0	0	0	0	13.3	0	0	0	646250000	0	0	0	0	0	0	0	0	0	346720000	0	0	0	0	0	0	0	0	0	0	299530000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121190000	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1				8	992	True	1016	9267;9268	13343;13344	13343	6	148
A0A087WS46;O70251;M0QWK5;M0QWH8;G3UX43;G3UZ47	A0A087WS46;O70251	3;3;1;1;1;1	3;3;1;1;1;1	3;3;1;1;1;1	Elongation factor 1-beta	Eef1b2;Eef1b	0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		tr|A0A087WS46|A0A087WS46_MOUSE Eukaryotic translation elongation factor 1 beta 2 OS=Mus musculus OX=10090 GN=Eef1b2 PE=1 SV=1;sp|O70251|EF1B_MOUSE Elongation factor 1-beta OS=Mus musculus OX=10090 GN=Eef1b PE=1 SV=5	6	3	3	3	0	1	1	1	0	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	25	25	25	20.136	184	184;225;43;48;68;94	1	7	0	43.099	0	8.2	8.2	8.2	0	0	8.2	0	0	0	0	0	0	0	16.8	8.2	0	0	0	0	0	0	0	0	17737000	0	16291000	0	0	0	0	0	0	0	0	0	0	0	0	1446400	0	0	0	0	0	0	0	0	0	0	7597500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	6				9	2162;2401;2727	True;True;True	2207;2453;2788	22285;24638;24639;24640;24641;24642;26787	30334;33312;33313;33314;33315;33316;36362	30334;33316;36362		
